RGN,ITM_NM,UNIT_NM,C1_NM,PRD_DE,DT,남,여,인구
강원도,검거건수,건,가정폭력범죄,2014,7.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,가정폭력범죄,2015,15.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,가정폭력범죄,2016,11.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,가정폭력범죄,2017,13.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,가정폭력범죄,2018,22.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,가정폭력범죄,2019,36.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,가정폭력범죄,2020,33.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,가정폭력범죄,2021,78.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2014,130.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2015,118.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2016,138.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2017,126.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2018,114.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2019,111.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2020,116.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,가축분뇨의 관리 및 이용에 관한법률,2021,78.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,간음,2014,13.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,간음,2015,9.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,간음,2016,14.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,간음,2017,15.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,간음,2018,9.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,간음,2019,16.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,간음,2020,18.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,간음,2021,26.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,감금,2014,98.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,감금,2015,125.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,감금,2016,123.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,감금,2017,158.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,감금,2018,126.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,감금,2019,143.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,감금,2020,121.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,감금,2021,126.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,감금치상사,2014,5.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,감금치상사,2015,6.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,감금치상사,2016,9.0,781146.0,769660.0,1550806.0
강원도,검거건수,건,감금치상사,2017,20.0,780635.0,769507.0,1550142.0
강원도,검거건수,건,감금치상사,2018,7.0,776456.0,766596.0,1543052.0
강원도,검거건수,건,감금치상사,2019,9.0,775386.0,766116.0,1541502.0
강원도,검거건수,건,감금치상사,2020,6.0,776505.0,766335.0,1542840.0
강원도,검거건수,건,감금치상사,2021,8.0,774332.0,764160.0,1538492.0
강원도,검거건수,건,감염병의 예방 및 관리에 관한법률,2014,14.0,778007.0,766435.0,1544442.0
강원도,검거건수,건,감염병의 예방 및 관리에 관한법률,2015,17.0,781434.0,768073.0,1549507.0
강원도,검거건수,건,감염병의 예방 및 관리에 관한법률,2016,10.0,781146.0,769660.0,1550806.0
