Year,Type,전국,서울,부산,대구,인천,대전,울산,세종,경기도,강원도,충청북도,충청남도,광주,전라북도,전라남도,경상북도,경상남도,제주
1992,인구,44503200,10935230,3882389,2284191,2065866,1134843,,,6613094,1554106,1403633,1870723,1223784,2027454,2283108,2872170,3846825,505784
1992,남,22345897,5500001,1941895,1144792,1042541,572095,,,3343088,780751,706430,938142,606776,1005875,1137941,1442757,1933474,249339
1992,여,22157303,5435229,1940494,1139399,1023325,562748,,,3270006,773355,697203,932581,617008,1021579,1145167,1429413,1913351,256445
1993,인구,45001113,10889499,3862806,2312166,2138426,1189039,,,7005232,1539801,1418403,1856333,1248670,2016018,2235346,2876288,3902502,510584
1993,남,22602933,5477845,1931484,1160365,1078845,599218,,,3542783,773555,714157,932119,619159,1001224,1113675,1445071,1961385,252048
1993,여,22398180,5411654,1931322,1151801,1059581,589821,,,3462449,766246,704246,924214,629511,1014794,1121671,1431217,1941117,258536
1994,인구,45416339,10759454,3839812,2342680,2200769,1232823,,,7421823,1529304,1425295,1842157,1272515,2002899,2197391,2873138,3962374,513905
1994,남,22814974,5408827,1920107,1176372,1110814,620373,,,3757944,768009,716956,924752,631353,994443,1094979,1443849,1992530,253666
1994,여,22601365,5350627,1919705,1166308,1089955,612450,,,3663879,761295,708339,917405,641162,1008456,1102412,1429289,1969844,260239
1995,인구,45858029,10550871,3883880,2478589,2353073,1265081,,,7789424,1528488,1439346,1852361,1285633,2006602,2185564,2770378,3949903,518836
1995,남,23041367,5302277,1941693,1246728,1187620,636556,,,3946338,767927,724172,929584,637914,997081,1089299,1389878,1988118,256182
1995,여,22816662,5248594,1942187,1231861,1165453,628525,,,3843086,760561,715174,922777,647719,1009521,1096265,1380500,1961785,262654
1996,인구,46266256,10418076,3867125,2480345,2391824,1293760,,,8155794,1528671,1454524,1873499,1300195,2004345,2175206,2790451,4009419,523022
1996,남,23242707,5231039,1932943,1247132,1206978,651137,,,4130561,767634,731686,940771,644872,996201,1084907,1399442,2018993,258411
1996,여,23023549,5187037,1934182,1233213,1184846,642623,,,4025233,761037,722838,932728,655323,1008144,1090299,1391009,1990426,264611
1997,인구,46684069,10336134,3851312,2488346,2445613,1318212,1009652,,8470594,1537106,1470776,1897074,1323863,2001606,2163353,2799084,3043758,527586
1997,남,23445473,5186530,1924904,1250442,1233907,663060,518930,,4286697,772280,739652,953013,656596,994897,1078553,1403153,1521928,260931
1997,여,23238596,5149604,1926408,1237904,1211706,655152,490722,,4183897,764826,731124,944061,667267,1006709,1084800,1395931,1521830,266655
1998,인구,46991171,10270506,3829098,2493440,2485199,1341413,1015249,,8672632,1552667,1484466,1913428,1339441,2009250,2171024,2809595,3069755,534008
1998,남,23594034,5146825,1914196,1253073,1253485,674563,520696,,4383917,781179,746355,962117,665166,999878,1083418,1408418,1536028,264720
1998,여,23397137,5123681,1914902,1240367,1231714,666850,494553,,4288715,771488,738111,951311,674275,1009372,1087606,1401177,1533727,269288
1999,인구,47335678,10264260,3817270,2505710,2509086,1363546,1024336,,8934332,1556979,1492077,1919330,1356612,2009507,2155093,2808567,3080229,538744
1999,남,23764463,5141141,1908068,1259384,1266057,685460,525098,,4513391,782936,750330,965846,673853,999826,1075783,1407843,1542109,267338
1999,여,23571215,5123119,1909202,1246326,1243029,678086,499238,,4420941,774043,741747,953484,682759,1009681,1079310,1400724,1538120,271406
2000,인구,47732558,10311314,3796506,2524253,2545769,1385606,1040225,,9219343,1554688,1497513,1921604,1371909,1999255,2130614,2797178,3094413,542368
2000,남,23962088,5166605,1897050,1268348,1284769,695881,533559,,4658523,781133,752953,966413,681570,993967,1061959,1401512,1548720,269126
2000,여,23770470,5144709,1899456,1255905,1261000,689725,506666,,4560820,773555,744560,955191,690339,1005288,1068655,1395666,1545693,273242
2001,인구,48021543,10263336,3770536,2525109,2564598,1403164,1055618,,9544496,1552407,1496520,1918137,1383765,2006454,2099308,2784704,3106502,546889
2001,남,24102463,5141741,1883524,1268488,1294400,704489,541907,,4822367,778766,752588,964509,687267,995701,1045903,1394244,1555175,271394
2001,여,23919080,5121595,1887012,1256621,1270198,698675,513711,,4722129,773641,743932,953628,696498,1010753,1053405,1390460,1551327,275495
2002,인구,48229948,10207295,3730125,2525803,2577989,1419573,1065037,,9927473,1538720,1492713,1907725,1397452,1953846,2054204,2756744,3124418,550831
2002,남,24200192,5108964,1862520,1268530,1301499,712653,546847,,5012229,771945,750277,958290,693937,971729,1022322,1380211,1564368,273871
2002,여,24029756,5098331,1867605,1257273,1276490,706920,518190,,4915244,766775,742436,949435,703515,982117,1031882,1376533,1560050,276960
2003,인구,48386823,10174086,3691445,2529544,2570194,1432296,1072867,,10206851,1527034,1489635,1912803,1395762,1954430,2017730,2720832,3139017,552297
2003,남,24270143,5084908,1842405,1269880,1296989,718968,551084,,5150549,767294,748957,960719,693149,970289,1004190,1363201,1572720,274841
2003,여,24116680,5089178,1849040,1259664,1273205,713328,521783,,5056302,759740,740678,952084,702613,984141,1013540,1357631,1566297,277456
2004,인구,48583805,10173162,3666345,2524712,2578817,1443471,1081453,,10462920,1521375,1488945,1953406,1401172,1906742,1986192,2695917,3143814,555362
2004,남,24363083,5074686,1828634,1266254,1300343,724588,555660,,5277320,764803,749274,982648,695479,948697,989227,1352420,1576357,276693
2004,여,24220722,5098476,1837711,1258458,1278474,718883,525793,,5185600,756572,739671,970758,705693,958045,996965,1343497,1567457,278669
2005,인구,48782274,10167344,3638293,2511306,2600495,1454638,1087648,,10697215,1513110,1488803,1962646,1401745,1885335,1967205,2688491,3160431,557569
2005,남,24456234,5062492,1812599,1259092,1310759,729818,558866,,5395500,760642,749832,988191,695687,938746,980392,1349437,1585900,278281
2005,여,24326040,5104852,1825694,1252214,1289736,724820,528782,,5301715,752468,738971,974455,706058,946589,986813,1339054,1574531,279288
2006,인구,48991779,10181166,3611992,2496115,2624391,1466158,1092494,,10906033,1505420,1494559,1974433,1407798,1868365,1942925,2688577,3172857,558496
2006,남,24557004,5062107,1798940,1250849,1323375,735595,561611,,5499796,756894,752742,995826,698664,930450,968861,1349830,1592610,278854
2006,여,24434775,5119059,1813052,1245266,1301016,730563,530883,,5406237,748526,741817,978607,709134,937915,974064,1338747,1580247,279642
2007,인구,49268928,10192710,3587439,2493261,2664576,1475659,1099995,,11106211,1503806,1506608,1995531,1413444,1862277,1929836,2681364,3196953,559258
2007,남,24691249,5063188,1785903,1248233,1342975,739472,565897,,5598206,756184,758967,1007900,701561,927367,963411,1346756,1605983,279246
2007,여,24577679,5129522,1801536,1245028,1321601,736187,534098,,5508005,747622,747641,987631,711883,934910,966425,1334608,1590970,280012
2008,인구,49540367,10200827,3564577,2492724,2692696,1480895,1112407,,11292264,1508575,1519587,2018537,1422702,1855772,1919000,2673931,3225255,560618
2008,남,24822897,5061809,1773154,1246873,1356473,741611,572815,,5690673,759282,765398,1020317,705817,924770,958491,1343199,1622127,280088
2008,여,24717470,5139018,1791423,1245851,1336223,739284,539592,,5601591,749293,754189,998220,716885,931002,960509,1330732,1603128,280530
2009,인구,49773145,10208302,3543030,2489781,2710579,1484180,1114866,,11460610,1512870,1527478,2037582,1433640,1854508,1913004,2669876,3250176,562663
2009,남,24929939,5059269,1761202,1243878,1364809,743121,573607,,5773569,761270,769968,1029725,711091,924480,955954,1340977,1635700,281319
2009,여,24843206,5149033,1781828,1245903,1345770,741059,541259,,5687041,751600,757510,1007857,722549,930028,957050,1328899,1614476,281344
2010,인구,50515666,10312545,3567910,2511676,2758296,1503664,1126298,,11786622,1529818,1549528,2075514,1454636,1868963,1918485,2689920,3290536,571255
2010,남,25310385,5111259,1773170,1255245,1390356,753648,579071,,5942454,769807,781301,1049363,721780,931481,958624,1351202,1656042,285582
2010,여,25205281,5201286,1794740,1256431,1367940,750016,547227,,5844168,760011,768227,1026151,732856,937482,959861,1338718,1634494,285673
2011,인구,50734284,10249679,3550963,2507271,2801274,1515603,1135494,,11937415,1536448,1562903,2101284,1463464,1874031,1914339,2699195,3308765,576156
2011,남,25406934,5073899,1762848,1251577,1410980,759188,583825,,6015357,773278,787981,1063012,725606,934002,956747,1355727,1664755,288152
2011,여,25327350,5175780,1788115,1255694,1390294,756415,551669,,5922058,763170,774922,1038272,737858,940029,957592,1343468,1644010,288004
2012,인구,50948272,10195318,3538484,2505644,2843981,1524583,1147256,113117,12093299,1538630,1565628,2028777,1469216,1873341,1909618,2698353,3319314,583713
2012,남,25504060,5041336,1754479,1249320,1431593,763671,590424,57633,6091035,774273,789286,1026812,728406,933386,954354,1355294,1670545,292213
2012,여,25444212,5153982,1784005,1256324,1412388,760912,556832,55484,6002264,764357,776342,1001965,740810,939955,955264,1343059,1648769,291500
2013,인구,51141463,10143645,3527635,2501588,2879782,1532811,1156480,122153,12234630,1542263,1572732,2047631,1472910,1872965,1907172,2699440,3333820,593806
2013,남,25588336,5007869,1747000,1246071,1448835,767309,595319,62205,6159193,776498,792862,1037421,730216,932894,952597,1355951,1678592,297504
2013,여,25553127,5135776,1780635,1255517,1430947,765502,561161,59948,6075437,765765,779870,1010210,742694,940071,954575,1343489,1655228,296302
2014,인구,51327916,10103233,3519401,2493264,2902608,1531809,1166377,156125,12357830,1544442,1578933,2062273,1475884,1871560,1905780,2700794,3350257,607346
2014,남,25669296,4979768,1740417,1241119,1459074,766497,600904,78862,6219813,778007,796141,1045892,731339,931536,951975,1356182,1687114,304656
2014,여,25658620,5123465,1778984,1252145,1443534,765312,565473,77263,6138017,766435,782792,1016381,744545,940024,953805,1344612,1663143,302690
2015,인구,51529338,10022181,3513777,2487829,2925815,1518775,1173534,210884,12522606,1549507,1583952,2077649,1472199,1869711,1908996,2702826,3364702,624395
2015,남,25758186,4930943,1735570,1237291,1469869,759778,604889,105752,6299812,781434,798896,1054439,729662,930255,953881,1357306,1694981,313428
2015,여,25771152,5091238,1778207,1250538,1455946,758997,568645,105132,6222794,768073,785056,1023210,742537,939456,955115,1345520,1669721,310967
2016,인구,51696216,9930616,3498529,2484557,2943069,1514370,1172304,243048,12716780,1550806,1591625,2096727,1469214,1864791,1903914,2700398,3373871,641597
2016,남,25827594,4876789,1725607,1234169,1477671,757289,603797,121505,6395453,781146,803240,1064765,728137,927505,951889,1356868,1699219,322545
2016,여,25868622,5053827,1772922,1250388,1465398,757081,568507,121543,6321327,769660,788385,1031962,741077,937286,952025,1343530,1674652,319052
2017,인구,51778544,9857426,3470653,2475231,2948542,1502227,1165132,280100,12873895,1550142,1594432,2116770,1463770,1854607,1896424,2691706,3380404,657083
2017,남,25855919,4830206,1709508,1227814,1479597,750969,599480,139734,6475323,780635,805091,1076270,725295,922307,948290,1353164,1701413,330823
2017,여,25922625,5027220,1761145,1247417,1468945,751258,565652,140366,6398572,769507,789341,1040500,738475,932300,948134,1338542,1678991,326260
2018,인구,51826059,9765623,3441453,2461769,2954642,1489936,1155623,314126,13077153,1543052,1599252,2126282,1459336,1836832,1882970,2676831,3373988,667191
2018,남,25866129,4773899,1692421,1219342,1481844,744338,593819,156831,6577501,776456,808971,1082009,722581,913297,943000,1346689,1697412,335719
2018,여,25959930,4991724,1749032,1242427,1472798,745598,561804,157295,6499652,766596,790281,1044273,736755,923535,939970,1330142,1676576,331472
2019,인구,51849861,9729107,3413841,2438031,2957026,1474870,1148019,340575,13239666,1541502,1600007,2123709,1456468,1818917,1868745,2665836,3362553,670989
2019,남,25864816,4744059,1675417,1205286,1482249,736607,589712,169845,6659995,775386,810384,1081938,720740,904110,937674,1342037,1692032,337345
2019,여,25985045,4985048,1738424,1232745,1474777,738263,558307,170730,6579671,766116,789623,1041771,735728,914807,931071,1323799,1670521,333644
2020,인구,51829023,9668465,3391946,2418346,2942828,1463882,1136017,355831,13427014,1542840,1600837,2121029,1450062,1804104,1851549,2639422,3340216,674635
2020,남,25841029,4701723,1661000,1193109,1473943,730699,583708,177568,6754469,776505,811591,1082634,717348,896874,930615,1329211,1681423,338609
2020,여,25987994,4966742,1730946,1225237,1468885,733183,552309,178263,6672545,766335,789246,1038395,732714,907230,920934,1310211,1658793,336026
2021,인구,51638809,9509458,3350380,2385412,2948375,1452251,1121592,371895,13565450,1538492,1597427,2119257,1441611,1786855,1832803,2626609,3314183,676759
2021,남,25746684,4618040,1639044,1175632,1476373,724626,576217,185678,6827298,774332,810672,1083366,713015,888994,922221,1323661,1668338,339177
2021,여,25892125,4891418,1711336,1209780,1472002,727625,545375,186217,6738152,764160,786755,1035891,728596,897861,910582,1302948,1645845,337582
2022,인구,51439038,9428372,3317812,2363691,2967314,1446072,1110663,383591,13589432,1536498,1595058,2123037,1431050,1769607,1817697,2600492,3280493,678159
2022,남,25636951,4570048,1619915,1162865,1485175,721245,570368,191389,6839276,772947,810782,1086632,707299,880592,915272,1311881,1651675,339590
2022,여,25802087,4858324,1697897,1200826,1482139,724827,540295,192202,6750156,763551,784276,1036405,723751,889015,902425,1288611,1628818,338569
